App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
MBU DX Cluster,TOOLS,4.0,5,1.6M,500+,Free,0,Everyone,Tools,2015-06-16 00:00:00,0.0.1,2.3.3 and up
Dress Up RagazzA13 DX,FAMILY,3.5,13,42M,100+,Paid,0.99,Everyone,Simulation,2016-09-16 00:00:00,1.0.5,4.0.3 and up
Cloud DX Connected Health,HEALTH_AND_FITNESS,5.0,6,11M,100+,Free,0,Everyone,Health & Fitness,2017-07-19 00:00:00,1.7.10713 (281),4.4 and up
DX Simulation for X-aid Dx Belt,FAMILY,4.0,35,48M,"5,000+",Free,0,Everyone,Simulation,2018-08-04 00:00:00,1.6,4.1 and up
Unstoppaball DX,FAMILY,4.2,5,40M,50+,Paid,1.49,Everyone,Puzzle,2014-05-20 00:00:00,1.7,2.0.1 and up
Differential Dx,MEDICAL,4.0,8,Varies with device,500+,Paid,3.99,Everyone,Medical,2018-01-19 00:00:00,Varies with device,Varies with device
Sokoban Land DX,FAMILY,3.9,46,20M,"10,000+",Paid,2.99,Everyone,Puzzle,2018-01-29 00:00:00,1.0.6,2.3 and up
Multiple Sclerosis Dx & Mgmt.,MEDICAL,4.5,131,60M,"10,000+",Free,0,Everyone,Medical,2017-09-25 00:00:00,5,4.4 and up
Dx Ludo,FAMILY,3.6,215,2.6M,"50,000+",Free,0,Everyone,Puzzle,2011-04-18 00:00:00,1,2.1 and up
My Dy Dice - 3D Dice Roller,LIFESTYLE,4.2,9,22M,100+,Free,0,Everyone,Lifestyle,2016-09-20 00:00:00,1.01,4.1 and up
Dy So Exam,FAMILY,3.0,6,3.2M,"1,000+",Free,0,Everyone,Education,2017-07-03 00:00:00,1,2.3 and up
edp re:dy,TOOLS,3.0,172,Varies with device,"10,000+",Free,0,Everyone,Tools,2018-06-20 00:00:00,Varies with device,Varies with device
Dr. D. Y. Patil Vidyapeeth GBS,FAMILY,4.0,3,5.3M,100+,Free,0,Everyone,Education,2017-02-14 00:00:00,1.0.1702140017,4.1 and up
edp re:dy smarthome,TOOLS,3.4,30,22M,"5,000+",Free,0,Everyone,Tools,2017-06-07 00:00:00,1.2.2,4.1 and up
KPS CHAUHAN DY/DX,FAMILY,4.9,37,10M,100+,Free,0,Everyone,Education,2018-07-28 00:00:00,1.0.32.1,4.1 and up
DY Fitness,HEALTH_AND_FITNESS,,0,43M,10+,Free,0,Everyone,Health & Fitness,2018-08-06 00:00:00,4.4.1,4.1 and up
dy n fly,LIFESTYLE,,1,4.8M,50+,Free,0,Everyone,Lifestyle,2018-03-05 00:00:00,1.0.3,4.0 and up
Cnady Selfie : You Can Dy Snap Camera,PERSONALIZATION,,8,20M,"1,000+",Free,0,Everyone,Personalization,2018-01-06 00:00:00,2.6,4.1 and up
junainfo.dy.fi,TRAVEL_AND_LOCAL,,8,1.9M,100+,Free,0,Everyone,Travel & Local,2015-10-21 00:00:00,0.0.9,4.0 and up
DY TECHNICAL GYAN,BUSINESS,4.0,2,3.3M,10+,Free,0,Everyone,Business,2018-01-17 00:00:00,1.1.0,4.0 and up
JONACK (D Story Teller),FAMILY,4.4,152,1.2M,"10,000+",Free,0,Everyone,Entertainment,2015-11-28 00:00:00,1,2.2 and up
American Sniper City Fight Shooting Assassin,GAME,4.1,395,54M,"50,000+",Free,0,Teen,Action,2017-11-24 00:00:00,1.4,2.3 and up
Guardians of Ancora,FAMILY,4.4,969,26M,"50,000+",Free,0,Everyone,Educational;Action & Adventure,2018-07-20 00:00:00,2.9.1,2.3.3 and up
Train Sim Pro,FAMILY,4.0,1763,Varies with device,"10,000+",Paid,1.49,Everyone,Simulation;Pretend Play,2018-06-25 00:00:00,3.9.9,4.1 and up
Displaying You VR,PHOTOGRAPHY,,1,67M,50+,Free,0,Everyone,Photography,2016-10-19 00:00:00,3.0.6.2,4.0 and up
Cute Dolphin Keyboard,PERSONALIZATION,4.5,237,6.4M,"10,000+",Free,0,Everyone,Personalization,2018-07-30 00:00:00,1.279.13.93,4.0.3 and up
Truck Transport Raw Material,FAMILY,4.2,632,50M,"100,000+",Free,0,Everyone,Simulation,2018-07-20 00:00:00,1.4,4.1 and up
Hidden Camera Detector,TOOLS,3.9,167,2.5M,"10,000+",Free,0,Everyone,Tools,2017-11-08 00:00:00,1,4.0.3 and up
DYPhyzio-Physiology Forum,FAMILY,,4,1.3M,100+,Free,0,Everyone,Education,2017-08-22 00:00:00,1.1,4.1 and up
Street Skater 3D,GAME,3.6,120852,21M,"10,000,000+",Free,0,Teen,Action,2017-10-24 00:00:00,1.1,4.0.3 and up
DYPSOET,FAMILY,5.0,8,7.4M,50+,Free,0,Everyone,Education,2018-08-07 00:00:00,1.0.2,4.1 and up
Triceratops - Dino Robot,FAMILY,4.4,3032,30M,"1,000,000+",Free,0,Everyone,Casual,2017-12-18 00:00:00,1.2.3,4.0 and up
Differential Equations Steps,FAMILY,3.6,1185,3.9M,"100,000+",Free,0,Everyone,Education,2017-04-11 00:00:00,5.3.0,4.0.3 and up
Dz Dinars Numbers to letters,PRODUCTIVITY,4.7,2807,9.8M,"100,000+",Free,0,Everyone,Productivity,2016-12-15 00:00:00,0.74 11.12.2016,4.0.3 and up
dz NEWS Algerie,NEWS_AND_MAGAZINES,4.2,2318,4.5M,"100,000+",Free,0,Everyone,News & Magazines,2014-12-13 00:00:00,2.3,2.3 and up
Siyaha Dz,TRAVEL_AND_LOCAL,4.5,289,9.8M,"10,000+",Free,0,Everyone,Travel & Local,2018-03-13 00:00:00,2.6.3,4.2 and up
CCP DZ : Fill out a check | Number in letters DZD,FINANCE,4.7,642,3.2M,"10,000+",Free,0,Everyone,Finance,2018-04-27 00:00:00,2018-04-27 00:00:00,4.0 and up
DZ Puzzle,FAMILY,,14,47M,10+,Paid,0.99,Everyone,Puzzle,2017-04-22 00:00:00,1.2,2.3 and up
DZ Mobile Market,SHOPPING,,59,6.0M,"10,000+",Free,0,Everyone,Shopping,2018-02-01 00:00:00,1.0.3-DzMobile,4.0.3 and up
3G DZ Configuration,COMMUNICATION,4.3,488,2.5M,"50,000+",Free,0,Everyone,Communication,2015-11-19 00:00:00,6.2.3,3.0 and up
3G/4G Config Dz,TOOLS,4.2,2058,2.3M,"100,000+",Free,0,Everyone,Tools,2017-05-15 00:00:00,3.0.2,4.0 and up
Drugs Dz - Algeria,MEDICAL,4.4,187,Varies with device,"10,000+",Free,0,Everyone,Medical,2017-07-29 00:00:00,0.0.7,Varies with device
amm dz,FINANCE,,0,14M,1+,Paid,5.99,Everyone,Finance,2018-07-08 00:00:00,1,4.2 and up
IRIS : Customer Service - DZ Algeria,TRAVEL_AND_LOCAL,4.7,57,7.0M,"1,000+",Free,0,Everyone,Travel & Local,2018-03-10 00:00:00,2018-03-01 00:00:00,4.0 and up
Numbers Into Words,PRODUCTIVITY,4.4,457,562k,"50,000+",Free,0,Everyone,Productivity,2014-05-06 00:00:00,1.2,2.1 and up
Dz kayas,FINANCE,,0,14M,1+,Paid,28.99,Everyone,Finance,2018-07-12 00:00:00,1,4.2 and up
Météo Algérie DZ,WEATHER,4.1,1238,4.7M,"100,000+",Free,0,Everyone,Weather,2014-12-17 00:00:00,1.1.6,2.3 and up
DZ Popup Video Player,VIDEO_PLAYERS,4.5,83,4.5M,"5,000+",Free,0,Everyone,Video Players & Editors,2018-05-16 00:00:00,4.6,4.1 and up
DZ PROMOS - Promotions & Sale Alerts in Algeria,SHOPPING,4.1,331,10M,"50,000+",Free,0,Everyone,Shopping,2017-08-10 00:00:00,2.51,4.0.3 and up
JNews DZ - Algerian Newspapers,NEWS_AND_MAGAZINES,4.0,146,3.0M,"10,000+",Free,0,Everyone,News & Magazines,2016-07-16 00:00:00,2.4,2.3 and up
DZ-JOKER,GAME,,6,18M,100+,Free,0,Everyone,Arcade,2017-05-04 00:00:00,1,2.3 and up
Super ball DZ,GAME,,24,32M,"1,000+",Free,0,Teen,Action,2017-09-21 00:00:00,1.0.4,4.1 and up
Ouedkniss,SHOPPING,4.3,10355,847k,"1,000,000+",Free,0,Teen,Shopping,2018-06-19 00:00:00,1.5.1,4.0 and up
Files To SD Card Pro,TOOLS,4.2,994,2.8M,"100,000+",Free,0,Everyone,Tools,2018-05-18 00:00:00,6.0.0,5.0 and up
News Dz,SOCIAL,,3,9.9M,10+,Free,0,Everyone,Social,2017-07-19 00:00:00,1,4.0 and up
My Ooredoo Algeria,TOOLS,4.2,3606,17M,"100,000+",Free,0,Everyone,Tools,2018-06-24 00:00:00,1.22.1,4.4 and up
Currency Exchange DZ,FINANCE,,4,2.5M,"1,000+",Free,0,Everyone,Finance,2016-11-10 00:00:00,1,2.3 and up
PHARMAGUIDE (DZ),HEALTH_AND_FITNESS,4.1,131,3.4M,"5,000+",Free,0,Everyone,Health & Fitness,2016-04-01 00:00:00,1.06,1.6 and up
لعبة تقدر تربح DZ,FAMILY,4.2,238,6.8M,"10,000+",Free,0,Everyone,Education,2016-11-18 00:00:00,6.0.0.0,4.1 and up
DEM DZ,HEALTH_AND_FITNESS,,2,957k,100+,Free,0,Teen,Health & Fitness,2017-11-13 00:00:00,1,2.3.3 and up
chat dz,COMMUNICATION,5.0,8,29M,100+,Free,0,Teen,Communication,2018-03-14 00:00:00,1,4.1 and up
Devise Dz,FINANCE,4.0,26,3.6M,"1,000+",Free,0,Everyone,Finance,2017-05-29 00:00:00,1.0.0,4.0 and up
BAC DZ Questionnaire,FAMILY,4.0,38,Varies with device,"5,000+",Free,0,Everyone,Education,2018-05-25 00:00:00,Varies with device,Varies with device
Ludo Dz,GAME,4.5,17,28M,500+,Free,0,Everyone,Board,2017-08-27 00:00:00,1,4.1 and up
ONEC DZ,FAMILY,,40,3.1M,"1,000+",Free,0,Everyone,Education,2018-06-13 00:00:00,4,4.0.3 and up
Agent HQ for The Division,FAMILY,4.1,1060,2.5M,"100,000+",Free,0,Everyone,Entertainment,2018-02-17 00:00:00,0.35,4.0.3 and up
DZ Urgences,FAMILY,,16,1.6M,500+,Free,0,Everyone,Education,2016-12-21 00:00:00,2,4.0 and up
infirmiers,MEDICAL,4.7,125,23M,"10,000+",Free,0,Everyone,Medical,2018-06-07 00:00:00,12,4.0.3 and up
DZ sim,TOOLS,4.4,417,15M,"10,000+",Free,0,Everyone,Tools,2018-04-26 00:00:00,3,4.2 and up
Tuberculose Dz,MEDICAL,4.9,26,6.1M,"1,000+",Free,0,Everyone,Medical,2016-11-06 00:00:00,1.0.7,4.1 and up
DZ Fly Algérie Horaire Vols,TRAVEL_AND_LOCAL,3.6,114,10M,"10,000+",Free,0,Everyone,Travel & Local,2016-10-31 00:00:00,2,4.0 and up
3G to 4G Converter - Simulator,TOOLS,4.2,268,2.4M,"10,000+",Free,0,Everyone,Tools,2018-02-21 00:00:00,3.0.0,4.1 and up
dekoreko-dz,SHOPPING,,16,4.6M,500+,Free,0,Everyone,Shopping,2018-03-03 00:00:00,1.0.0,4.0.3 and up
ChangeDA - Cours du DZD sur le marché parallèle,FINANCE,4.4,188,3.3M,"10,000+",Free,0,Everyone,Finance,2018-07-28 00:00:00,2.5,4.2 and up
dz press,NEWS_AND_MAGAZINES,,30,10M,"1,000+",Free,0,Everyone,News & Magazines,2015-07-30 00:00:00,1.8,4.0 and up
Tunisian Dinar: Exchange rate,FINANCE,4.5,625,3.8M,"10,000+",Free,0,Everyone,Finance,2018-03-30 00:00:00,2.1,4.0 and up
love sms good morning,COMMUNICATION,4.2,10,3.1M,"5,000+",Free,0,Everyone,Communication,2016-04-28 00:00:00,1,2.3 and up
Dz Camera,TOOLS,,1,33M,10+,Free,0,Everyone,Tools,2017-11-19 00:00:00,1,4.3 and up
quran-DZ,SOCIAL,,0,6.2M,10+,Free,0,Teen,Social,2018-06-13 00:00:00,1.1,4.2 and up
DZ Blagues,FAMILY,4.2,580,2.1M,"10,000+",Free,0,Everyone,Entertainment,2012-12-19 00:00:00,1.3,2.1 and up
DZ Register,PRODUCTIVITY,,0,18M,1+,Free,0,Everyone,Productivity,2018-07-31 00:00:00,1.0.6,4.1 and up
EA SPORTS UFC®,SPORTS,4.5,2371338,37M,"50,000,000+",Free,0,Teen,Sports,2017-07-24 00:00:00,1.9.3097721,2.3.3 and up
NBA LIVE Mobile Basketball,SPORTS,4.4,1690802,58M,"50,000,000+",Free,0,Everyone,Sports,2018-05-21 00:00:00,2.3.1,4.0 and up
Need for Speed™ No Limits,GAME,4.4,3344300,22M,"50,000,000+",Free,0,Everyone 10+,Racing,2018-07-24 00:00:00,2.12.1,4.1 and up
Real Racing 3,FAMILY,4.5,354454,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,2018-07-02 00:00:00,6.4.0,4.1 and up
Madden NFL Football,FAMILY,4.5,1455952,Varies with device,"10,000,000+",Free,0,Everyone,Sports;Action & Adventure,2018-05-15 00:00:00,4.3.6,4.0 and up
EA SPORTS™ FIFA 18 Companion,SPORTS,3.9,282727,63M,"10,000,000+",Free,0,Everyone,Sports,2017-12-07 00:00:00,18.0.5.172734,4.4 and up
The Simpsons™: Tapped Out,FAMILY,4.3,636995,49M,"10,000,000+",Free,0,Teen,Casual,2018-07-31 00:00:00,4.34.0,4.0.3 and up
Plants vs. Zombies™ 2,FAMILY,4.4,567632,15M,"10,000,000+",Free,0,Everyone 10+,Casual,2018-06-12 00:00:00,6.8.1,4.1 and up
Command & Conquer: Rivals,FAMILY,,0,Varies with device,0,,0,Everyone 10+,Strategy,2018-06-28 00:00:00,Varies with device,Varies with device
Star Wars™: Galaxy of Heroes,FAMILY,4.5,1461698,67M,"10,000,000+",Free,0,Everyone 10+,Role Playing,2018-05-21 00:00:00,0.12.334385,4.1 and up
Dungeon Keeper,FAMILY,4.0,69574,45M,"500,000+",Free,0,Everyone 10+,Strategy,2018-05-24 00:00:00,1.8.91,4.1 and up
Lost Journey (Dreamsky),GAME,4.5,32344,29M,"1,000,000+",Paid,0.99,Everyone,Adventure,2016-10-21 00:00:00,1.3.12,3.0 and up
TETRIS,FAMILY,4.0,199808,57M,"10,000,000+",Free,0,Everyone,Puzzle,2018-06-14 00:00:00,3.0.10,3.0 and up
Bejeweled Classic,FAMILY,4.4,203101,Varies with device,"5,000,000+",Free,0,Everyone,Casual,2018-05-31 00:00:00,Varies with device,4.1 and up
NBA JAM by EA SPORTS™,FAMILY,4.3,56444,43M,"500,000+",Paid,4.99,Everyone,Sports;Action & Adventure,2017-02-08 00:00:00,04.00.40,2.3 and up
EA Plus,TRAVEL_AND_LOCAL,2.5,12,12M,"1,000+",Free,0,Everyone,Travel & Local,2017-11-03 00:00:00,1.4,4.0.3 and up
TETRIS Blitz,FAMILY,4.4,201631,96M,"5,000,000+",Free,0,Everyone,Puzzle,2018-06-01 00:00:00,4.4.4,4.1 and up
POGO Games,FAMILY,3.8,32600,26M,"1,000,000+",Free,0,Everyone,Casual,2017-02-22 00:00:00,1.4.10,4.1 and up
SW Battlefront Companion,FAMILY,4.4,93870,79M,"1,000,000+",Free,0,Everyone,Strategy,2016-02-03 00:00:00,1.0.6,4.0 and up
Bejeweled Blitz,FAMILY,4.2,222664,98M,"10,000,000+",Free,0,Everyone,Puzzle,2018-08-01 00:00:00,2.6.0.125,4.0.3 and up
Peggle Blast,GAME,4.1,166251,19M,"5,000,000+",Free,0,Everyone,Card,2017-12-11 00:00:00,2.16.0,4.0.3 and up
Heroes of Dragon Age,GAME,4.2,70389,28M,"1,000,000+",Free,0,Teen,Action,2018-05-09 00:00:00,5.3.1,2.3.3 and up
SCRABBLE,GAME,3.9,172281,50M,"5,000,000+",Free,0,Everyone,Word,2018-08-01 00:00:00,5.27.0.729,4.1 and up
Asphalt Xtreme: Rally Racing,GAME,4.5,567984,39M,"10,000,000+",Free,0,Everyone,Racing,2018-07-16 00:00:00,1.7.3b,4.0.3 and up
FIFA 16 Soccer,SPORTS,4.1,820577,30M,"10,000,000+",Free,0,Everyone,Sports,2017-01-25 00:00:00,3.3.118003,4.4 and up
League of Stickman 2018- Ninja Arena PVP(Dreamsky),GAME,4.4,32496,99M,"1,000,000+",Paid,0.99,Teen,Action,2018-07-03 00:00:00,5.3.3,2.3 and up
Modern Combat 5: eSports FPS,GAME,4.3,2903386,58M,"100,000,000+",Free,0,Mature 17+,Action,2018-07-24 00:00:00,3.2.1c,4.0 and up
Bejeweled Stars: Free Match 3,FAMILY,4.5,85484,Varies with device,"1,000,000+",Free,0,Everyone,Puzzle;Brain Games,2018-08-02 00:00:00,2.17.1,4.1 and up
Mass Effect: Andromeda APEX HQ,GAME,3.4,4490,92M,"100,000+",Free,0,Everyone 10+,Action,2017-09-21 00:00:00,1.18.1,4.1 and up
Mirror’s Edge™ Companion,GAME,3.4,1995,43M,"100,000+",Free,0,Everyone,Action,2016-06-28 00:00:00,1.2.2,4.4 and up
Stickman Legends: Shadow Wars,GAME,4.4,38419,100M,"1,000,000+",Paid,0.99,Everyone 10+,Action,2018-08-03 00:00:00,2.3.24,4.1 and up
MLB Perfect Inning 2018,SPORTS,4.2,42767,72M,"1,000,000+",Free,0,Everyone,Sports,2018-07-26 00:00:00,2.0.5,4.3 and up
Gear.Club - True Racing,GAME,4.4,140658,37M,"1,000,000+",Free,0,Everyone,Racing,2018-08-01 00:00:00,1.21.2,4.3 and up
Plants vs. Zombies™ Watch Face,FAMILY,3.5,33178,3.1M,"1,000,000+",Free,0,Everyone,Casual,2015-02-02 00:00:00,1.0.5,4.3 and up
Real Football,SPORTS,4.1,585564,33M,"10,000,000+",Free,0,Everyone,Sports,2018-06-01 00:00:00,1.5.0,4.0.3 and up
Typical EA Game,FAMILY,4.6,33,3.3M,100+,Free,0,Everyone,Casual,2017-11-18 00:00:00,1,4.0 and up
EB Mobile,FAMILY,1.7000000000000002,1172,5.6M,"10,000+",Free,0,Everyone,Education,2017-10-09 00:00:00,1.1.2,4.1 and up
EB Events,TRAVEL_AND_LOCAL,3.3,97,16M,"10,000+",Free,0,Everyone,Travel & Local,2016-01-27 00:00:00,1.6,4.0 and up
i am EB,PHOTOGRAPHY,5.0,1,5.4M,10+,Free,0,Teen,Photography,2017-02-01 00:00:00,1,4.1 and up
EB-Link,BUSINESS,4.8,6,11M,100+,Free,0,Everyone,Business,2018-06-07 00:00:00,1.2.7,4.2 and up
Debra Care Conference,BUSINESS,,0,30M,50+,Free,0,Everyone,Business,2018-06-15 00:00:00,5.29.02,5.0 and up
Exchange Bank - EB Mobile,FINANCE,4.6,8,31M,"1,000+",Free,0,Everyone,Finance,2018-05-02 00:00:00,18.1.79,5.0 and up
TANGEDCO Mobile App (Official),BUSINESS,3.3,2915,3.3M,"500,000+",Free,0,Everyone,Business,2017-11-03 00:00:00,1.0.2,4.4 and up
EB-TV,SPORTS,,6,30M,"1,000+",Free,0,Everyone,Sports,2018-05-25 00:00:00,2.2.1,4.4 and up
Free E B Garamond Cool Font,PERSONALIZATION,4.2,410,6.1M,"100,000+",Free,0,Everyone,Personalization,2018-04-20 00:00:00,33,4.0.3 and up
EB Kit,BUSINESS,,4,5.2M,100+,Free,0,Everyone,Business,2018-05-15 00:00:00,1.2,4.1 and up
Epson iProjection,PRODUCTIVITY,3.5,3930,18M,"1,000,000+",Free,0,Everyone,Productivity,2018-03-22 00:00:00,3.0.0,4.0 and up
TN e Sevai TN EB Bill Patta Citta EC Birth All Hub,SOCIAL,3.7,23,16M,"5,000+",Free,0,Everyone,Social,2018-04-26 00:00:00,1,4.1 and up
EB Scanner,PRODUCTIVITY,5.0,9,25M,50+,Free,0,Everyone,Productivity,2018-02-11 00:00:00,1.7.8,4.0.3 and up
TNEB Bill Online Payment (Tamil),SOCIAL,,7,2.3M,"5,000+",Free,0,Teen,Social,2018-07-13 00:00:00,2,4.0.3 and up
EB Demo for Android,FAMILY,,0,13M,10+,Free,0,Teen,Entertainment,2017-05-17 00:00:00,1,4.1 and up
eBay Kleinanzeigen for Germany,SHOPPING,4.6,318142,Varies with device,"10,000,000+",Free,0,Teen,Shopping,2018-08-03 00:00:00,Varies with device,Varies with device
Mental Hospital:EB 2 Lite,GAME,4.1,5341,8.8M,"100,000+",Free,0,Teen,Action,2014-04-30 00:00:00,1,4.0 and up
EB Annual Meetings,BOOKS_AND_REFERENCE,3.5,11,15M,"1,000+",Free,0,Everyone,Books & Reference,2018-04-13 00:00:00,9.4.7.6,4.0 and up
UP EB Bill Payment & Details,SOCIAL,5.0,3,2.4M,50+,Free,0,Teen,Social,2018-07-11 00:00:00,2,4.0 and up
EB-Banking (ersetzt),FINANCE,,24,70M,"1,000+",Free,0,Everyone,Finance,2018-04-18 00:00:00,17.25.11,4.1 and up
Tamilnadu EB Online Payment,FINANCE,3.7,155,3.9M,"100,000+",Free,0,Everyone,Finance,2018-07-30 00:00:00,1.0.0,4.0.3 and up
Online Kerala EB Bill Pay,FINANCE,4.0,37,3.9M,"5,000+",Free,0,Everyone,Finance,2017-11-16 00:00:00,1.0.0,4.0.3 and up
EB Remote Deposit,BUSINESS,,0,9.0M,10+,Free,0,Everyone,Business,2018-05-10 00:00:00,5.1,4.1 and up
EB-Chat – For my Events,EVENTS,,2,21M,10+,Free,0,Teen,Events,2017-11-16 00:00:00,1.4,3.0 and up
বাংলাflix,FAMILY,4.2,1111,7.3M,"100,000+",Free,0,Everyone,Entertainment,2018-06-05 00:00:00,3.6.1,4.1 and up
EB Experience,LIFESTYLE,,0,1.8M,1+,Free,0,Everyone,Lifestyle,2017-10-19 00:00:00,1,4.0.3 and up
TNEB Quick Pay Easy,FINANCE,4.5,28,1.4M,"10,000+",Free,0,Teen,Finance,2018-01-29 00:00:00,1,3.0 and up
TNEB,BUSINESS,3.8,1777,948k,"100,000+",Free,0,Everyone,Business,2014-05-18 00:00:00,1,2.2 and up
TNEB Bill Checker / TNEB Bill Status,FINANCE,2.5,2,5.0M,"1,000+",Free,0,Everyone,Finance,2018-03-03 00:00:00,2,4.0.3 and up
Skin Disease,BEAUTY,4.0,1,2.2M,100+,Free,0,Everyone,Beauty,2017-08-30 00:00:00,1,2.2 and up
Schlaumeier,BOOKS_AND_REFERENCE,,0,688k,5+,Paid,0.99,Everyone,Books & Reference,2015-06-17 00:00:00,0.1,2.3 and up
Bihar Land Records - RoR and EB Quick Pay,TOOLS,4.0,8,2.2M,"1,000+",Free,0,Everyone,Tools,2018-08-07 00:00:00,1.0.1,5.0 and up
TNEB Reading,TOOLS,4.1,28,2.5M,"10,000+",Free,0,Everyone,Tools,2017-10-19 00:00:00,1.3,4.1 and up
Eb & flow Yoga Studio,HEALTH_AND_FITNESS,,0,7.3M,10+,Free,0,Everyone,Health & Fitness,2018-07-09 00:00:00,4.2.2,4.1 and up
Audiowalk EB,TRAVEL_AND_LOCAL,,0,90M,10+,Free,0,Everyone,Travel & Local,2018-06-30 00:00:00,1.0.1,4.2 and up
RPG ブレイジング ソウルズ アクセレイト,FAMILY,3.4,159,3.1M,"1,000+",Paid,10.99,Teen,Role Playing,2018-04-26 00:00:00,2.12,2.3 and up
Tamilnadu Electricity Info,TOOLS,3.6,216,811k,"10,000+",Free,0,Everyone,Tools,2014-11-09 00:00:00,2,1.0 and up
Punjab Online - Land Records • EB Bill Pay • RC/DL,TOOLS,3.4,16,4.0M,"5,000+",Free,0,Everyone,Tools,2018-08-07 00:00:00,1,5.0 and up
"energyly (TNEB,BESCOM,MH,DL..)",TOOLS,3.9,627,4.1M,"10,000+",Free,0,Everyone,Tools,2017-02-21 00:00:00,6,4.0 and up
Paraglider Dashboard,SPORTS,4.6,549,2.8M,"50,000+",Free,0,Everyone,Sports,2018-03-03 00:00:00,2.1.4,4.0 and up
Goodbox - Mega App,COMMUNICATION,4.3,3429,Varies with device,"100,000+",Free,0,Everyone,Communication,2018-03-08 00:00:00,1.10.279.2,4.2 and up
Exército Brasileiro,PRODUCTIVITY,4.7,1730,16M,"100,000+",Free,0,Everyone,Productivity,2018-02-01 00:00:00,1.5,4.1 and up
EB Cash Collections,BUSINESS,5.0,1,4.3M,5+,Free,0,Everyone,Business,2018-07-31 00:00:00,1.1,4.4 and up
TN Electricity (TNEB),LIFESTYLE,3.9,73,3.8M,"10,000+",Free,0,Everyone,Lifestyle,2016-12-21 00:00:00,8,2.3 and up
Electrician Calculator Pro,TOOLS,3.9,47,270k,"1,000+",Paid,14.99,Everyone,Tools,2014-06-03 00:00:00,3.1,1.6 and up
"Call Blocker - Blacklist, SMS Blocker",COMMUNICATION,4.2,30350,3.7M,"1,000,000+",Free,0,Everyone,Communication,2018-01-16 00:00:00,10.0.0,4.1 and up
英漢字典 EC Dictionary,FAMILY,4.3,55408,Varies with device,"1,000,000+",Free,0,Everyone,Education,2018-01-08 00:00:00,Varies with device,Varies with device
EC - AP & Telangana,BOOKS_AND_REFERENCE,3.5,10,3.0M,"5,000+",Free,0,Everyone,Books & Reference,2017-11-10 00:00:00,1,4.0.3 and up
TN EC Online New,SOCIAL,,7,2.3M,"1,000+",Free,0,Teen,Social,2018-07-21 00:00:00,2.1,4.0 and up
"TN Patta, Chitta, EC",TOOLS,4.1,633,3.8M,"100,000+",Free,0,Everyone,Tools,2016-10-21 00:00:00,6.7,2.3 and up
TN Patta Chitta EC Info,TOOLS,4.2,1611,2.7M,"100,000+",Free,0,Everyone,Tools,2018-08-06 00:00:00,5,4.4 and up
EC music dictionary,TOOLS,4.4,20,2.2M,500+,Paid,1.99,Everyone,Tools,2014-12-29 00:00:00,2.1,3.0 and up
EC Security,LIFESTYLE,4.5,13,28M,"1,000+",Free,0,Everyone,Lifestyle,2017-05-09 00:00:00,1.17.0.0,2.3.3 and up
TN Patta Citta & EC,BOOKS_AND_REFERENCE,3.8,48,1.5M,"10,000+",Free,0,Everyone,Books & Reference,2018-03-27 00:00:00,1,3.0 and up
EC - Encumbrance Search - telangana state,BUSINESS,3.4,45,5.5M,"10,000+",Free,0,Everyone,Business,2017-06-18 00:00:00,1,2.3 and up
Ec Solutions Mobile,BUSINESS,,0,4.0M,10+,Free,0,Everyone,Business,2016-11-20 00:00:00,1.02,4.1 and up
Encumbrance Certificate - (Obsolete),BUSINESS,3.9,184,48k,"50,000+",Free,0,Everyone,Business,2014-08-12 00:00:00,1.1,2.3 and up
"My Handbook : EE, EC, EI, E&T, EEE, EECS",FAMILY,4.5,3776,7.7M,"100,000+",Free,0,Everyone,Education,2017-07-24 00:00:00,8.07.021,4.0 and up
ec-Work,PRODUCTIVITY,,3,26M,100+,Free,0,Everyone,Productivity,2018-07-09 00:00:00,1.12,5.0 and up
ec.tv,LIFESTYLE,,0,8.6M,50+,Free,0,Everyone,Lifestyle,2016-11-11 00:00:00,1,4.1 and up
EC-HRV test,SPORTS,3.0,9,4.3M,"1,000+",Free,0,Everyone,Sports,2018-07-26 00:00:00,3.9.13,4.4 and up
EC MANAGER,VIDEO_PLAYERS,,2,17M,100+,Free,0,Everyone,Video Players & Editors,2018-06-13 00:00:00,8.3.13.6,4.1 and up
Barry EC,TOOLS,4.1,14,3.8M,"1,000+",Free,0,Everyone,Tools,2017-12-18 00:00:00,1.278.0037,2.3.3 and up
New Holland Agriculture T5 EC,PRODUCTIVITY,4.6,12,15M,"1,000+",Free,0,Everyone,Productivity,2017-02-24 00:00:00,1.2,4.0.3 and up
tv-ec,FAMILY,,1,3.4M,50+,Free,0,Everyone,Entertainment,2018-04-07 00:00:00,8.1,4.0.3 and up
EC Taximeter,PRODUCTIVITY,3.9,162,5.0M,"10,000+",Free,0,Everyone,Productivity,2018-05-14 00:00:00,3.0.21,4.0 and up
Walk Freely (Ec Shlire),TOOLS,4.7,62,2.3M,"1,000+",Free,0,Everyone,Tools,2017-11-13 00:00:00,1.1.3,4.1 and up
EC Apps List,TOOLS,4.5,2,1.6M,100+,Free,0,Everyone,Tools,2015-02-12 00:00:00,1.3,4.0 and up
